DATE,A455RC1Q027SBEA
1948-01-01,17.75220
1948-04-01,15.35782
1948-07-01,14.43973
1948-10-01,11.18590
1949-01-01,2.91080
1949-04-01,-2.24691
1949-07-01,-3.39437
1949-10-01,-7.68491
1950-01-01,-0.19928
1950-04-01,9.89151
1950-07-01,17.88055
1950-10-01,27.68772
1951-01-01,24.73341
1951-04-01,18.28544
1951-07-01,10.65732
1951-10-01,7.12356
1952-01-01,4.80133
1952-04-01,2.64992
1952-07-01,3.08338
1952-10-01,7.95081
1953-01-01,9.56842
1953-04-01,11.42471
1953-07-01,9.52402
1953-10-01,-1.56647
1954-01-01,-3.65263
1954-04-01,-4.28685
1954-07-01,-2.85622
1954-10-01,5.29912
1955-01-01,10.16855
1955-04-01,13.33626
1955-07-01,14.44737
1955-10-01,13.40555
1956-01-01,8.99744
1956-04-01,7.35591
1956-07-01,6.16078
1956-10-01,6.26068
1957-01-01,7.48208
1957-04-01,5.75968
1957-07-01,5.07222
1957-10-01,-0.07447
1958-01-01,-5.42746
1958-04-01,-5.62717
1958-07-01,-2.36802
1958-10-01,4.39625
1959-01-01,12.34805
1959-04-01,17.38797
1959-07-01,11.39907
1959-10-01,7.81701
1960-01-01,7.77213
1960-04-01,2.61026
1960-07-01,4.03671
1960-10-01,1.67459
1961-01-01,-2.38411
1961-04-01,1.21027
1961-07-01,3.90097
1961-10-01,8.62543
1962-01-01,11.14079
1962-04-01,9.75386
1962-07-01,8.77743
1962-10-01,6.86767
1963-01-01,6.13649
1963-04-01,6.76937
1963-07-01,6.81916
1963-10-01,6.79991
1964-01-01,8.12582
1964-04-01,7.61031
1964-07-01,8.08124
1964-10-01,7.79470
1965-01-01,9.33758
1965-04-01,9.50911
1965-07-01,9.40886
1965-10-01,11.43614
1966-01-01,10.43118
1966-04-01,10.47823
1966-07-01,9.98111
1966-10-01,8.45503
1967-01-01,5.78853
1967-04-01,4.47927
1967-07-01,4.91810
1967-10-01,5.81806
1968-01-01,8.39591
1968-04-01,10.78893
1968-07-01,11.08155
1968-10-01,10.91469
1969-01-01,10.33614
1969-04-01,8.99450
1969-07-01,8.34797
1969-10-01,6.66303
1970-01-01,4.07437
1970-04-01,3.91752
1970-07-01,3.32327
1970-10-01,1.90496
1971-01-01,6.63438
1971-04-01,6.90657
1971-07-01,7.53161
1971-10-01,10.46191
1972-01-01,10.06081
1972-04-01,10.24204
1972-07-01,11.04151
1972-10-01,12.49031
1973-01-01,12.72092
1973-04-01,12.38936
1973-07-01,12.13871
1973-10-01,11.15307
1974-01-01,7.95463
1974-04-01,8.64061
1974-07-01,8.42185
1974-10-01,6.86780
1975-01-01,5.84435
1975-04-01,6.42477
1975-07-01,9.31816
1975-10-01,11.13196
1976-01-01,15.89590
1976-04-01,14.27222
1976-07-01,11.48097
1976-10-01,10.51602
1977-01-01,9.48198
1977-04-01,13.07455
1977-07-01,14.75940
1977-10-01,14.85073
1978-01-01,13.29731
1978-04-01,14.48980
1978-07-01,12.61538
1978-10-01,14.15791
1979-01-01,14.57730
1979-04-01,10.43777
1979-07-01,10.73399
1979-10-01,9.43408
1980-01-01,8.96792
1980-04-01,6.82140
1980-07-01,7.66370
1980-10-01,10.70840
1981-01-01,12.71254
1981-04-01,15.40457
1981-07-01,15.75191
1981-10-01,10.75458
1982-01-01,6.04651
1982-04-01,4.98917
1982-07-01,2.36287
1982-10-01,1.54327
1983-01-01,3.63262
1983-04-01,5.39593
1983-07-01,7.70080
1983-10-01,11.47529
1984-01-01,14.23921
1984-04-01,13.02291
1984-07-01,11.46609
1984-10-01,9.85048
1985-01-01,6.80159
1985-04-01,6.18422
1985-07-01,6.90167
1985-10-01,5.85161
1986-01-01,5.31032
1986-04-01,4.12486
1986-07-01,2.90941
1986-10-01,3.86663
1987-01-01,4.79591
1987-04-01,6.91114
1987-07-01,8.30330
1987-10-01,8.65325
1988-01-01,9.11438
1988-04-01,8.96101
1988-07-01,8.28308
1988-10-01,8.79602
1989-01-01,6.97318
1989-04-01,5.51376
1989-07-01,4.82873
1989-10-01,3.17798
1990-01-01,4.38440
1990-04-01,5.51145
1990-07-01,4.77933
1990-10-01,3.93918
1991-01-01,2.57949
1991-04-01,1.57444
1991-07-01,2.05719
1991-10-01,2.71235
1992-01-01,3.93499
1992-04-01,4.38031
1992-07-01,4.16004
1992-10-01,5.47004
1993-01-01,3.49121
1993-04-01,4.54541
1993-07-01,4.96172
1993-10-01,5.71798
1994-01-01,7.71029
1994-04-01,7.92156
1994-07-01,8.46116
1994-10-01,7.75689
1995-01-01,7.04344
1995-04-01,5.47136
1995-07-01,6.01936
1995-10-01,5.08234
1996-01-01,5.88399
1996-04-01,6.62813
1996-07-01,6.02220
1996-10-01,6.66594
1997-01-01,6.99088
1997-04-01,6.86595
1997-07-01,7.74277
1997-10-01,7.50356
1998-01-01,6.18254
1998-04-01,6.09141
1998-07-01,5.66980
1998-10-01,5.11897
1999-01-01,6.76221
1999-04-01,6.23873
1999-07-01,5.16238
1999-10-01,6.19786
2000-01-01,7.24506
2000-04-01,6.97161
2000-07-01,7.36788
2000-10-01,4.98833
2001-01-01,0.95739
2001-04-01,0.08471
2001-07-01,-1.96114
2001-10-01,-2.42316
2002-01-01,-0.72682
2002-04-01,0.40467
2002-07-01,1.83876
2002-10-01,3.88632
2003-01-01,2.59066
2003-04-01,2.71752
2003-07-01,3.90133
2003-10-01,4.10245
2004-01-01,6.34531
2004-04-01,7.23197
2004-07-01,7.53380
2004-10-01,6.75513
2005-01-01,7.20349
2005-04-01,7.25084
2005-07-01,5.86746
2005-10-01,8.22508
2006-01-01,7.99601
2006-04-01,6.34419
2006-07-01,7.69630
2006-10-01,5.02476
2007-01-01,4.18691
2007-04-01,4.53447
2007-07-01,1.54585
2007-10-01,2.21331
2008-01-01,0.87850
2008-04-01,0.16505
2008-07-01,3.07684
2008-10-01,-0.38721
2009-01-01,-5.47338
2009-04-01,-6.33184
2009-07-01,-7.90793
2009-10-01,-3.40837
2010-01-01,3.15262
2010-04-01,5.69103
2010-07-01,7.89133
2010-10-01,5.34430
2011-01-01,5.10004
2011-04-01,5.82499
2011-07-01,4.58664
2011-10-01,5.05372
2012-01-01,7.15264
2012-04-01,5.94874
2012-07-01,4.34560
2012-10-01,5.91029
2013-01-01,4.50579
2013-04-01,3.86241
2013-07-01,4.18658
2013-10-01,3.09957
2014-01-01,2.57636
2014-04-01,4.12162
2014-07-01,6.38410
2014-10-01,6.60718
2015-01-01,6.22581
2015-04-01,4.40001
2015-07-01,3.39239
2015-10-01,2.13252
2016-01-01,1.83726
2016-04-01,0.90566
2016-07-01,0.54061
2016-10-01,1.05566
2017-01-01,2.87513
2017-04-01,4.51802
2017-07-01,3.99808
2017-10-01,4.60117
2018-01-01,4.47983
2018-04-01,4.23132
2018-07-01,5.29665
2018-10-01,4.96218
2019-01-01,3.66250
2019-04-01,3.76391
2019-07-01,3.57046
